Time,200
12/13/2023 12:45,3.30 K
12/13/2023 12:45,3.30 K
12/13/2023 12:45,3.30 K
12/13/2023 12:45,3.31 K
12/13/2023 12:45,3.31 K
12/13/2023 12:45,3.31 K
12/13/2023 12:45,3.31 K
12/13/2023 12:45,2.90 K
12/13/2023 12:45,3.31 K
12/13/2023 12:45,3.31 K
12/13/2023 12:45,3.29 K
12/13/2023 12:45,3.29 K
12/13/2023 12:45,3.29 K
12/13/2023 12:45,3.23 K
12/13/2023 12:45,3.23 K
12/13/2023 12:45,3.29 K
12/13/2023 12:45,3.29 K
12/13/2023 12:45,3.29 K
12/13/2023 12:45,3.32 K
12/13/2023 12:45,3.32 K
12/13/2023 12:45,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.31 K
12/13/2023 12:46,3.31 K
12/13/2023 12:46,3.32 K
12/13/2023 12:46,3.32 K
12/13/2023 12:46,3.32 K
12/13/2023 12:46,3.29 K
12/13/2023 12:46,3.29 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.32 K
12/13/2023 12:46,3.32 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.29 K
12/13/2023 12:46,3.29 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.31 K
12/13/2023 12:46,3.31 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.30 K
12/13/2023 12:46,3.31 K
12/13/2023 12:46,3.31 K
12/13/2023 12:46,3.31 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.30 K
12/13/2023 12:47,3.30 K
12/13/2023 12:47,3.30 K
12/13/2023 12:47,3.30 K
12/13/2023 12:47,3.30 K
12/13/2023 12:47,3.32 K
12/13/2023 12:47,3.32 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.29 K
12/13/2023 12:47,3.29 K
12/13/2023 12:47,3.29 K
12/13/2023 12:47,3.30 K
12/13/2023 12:47,3.30 K
12/13/2023 12:47,3.29 K
12/13/2023 12:47,3.29 K
12/13/2023 12:47,3.29 K
12/13/2023 12:47,3.32 K
12/13/2023 12:47,3.32 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.31 K
12/13/2023 12:47,3.30 K
12/13/2023 12:47,3.30 K
12/13/2023 12:47,3.33 K
12/13/2023 12:48,3.33 K
12/13/2023 12:48,3.33 K
12/13/2023 12:48,3.32 K
12/13/2023 12:48,3.32 K
12/13/2023 12:48,3.31 K
12/13/2023 12:48,3.31 K
12/13/2023 12:48,3.31 K
12/13/2023 12:48,3.29 K
