Time,    0-1000 us
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.20 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.22 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.21 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.18 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.17 K
12/13/2023 12:46,6.25 K
12/13/2023 12:46,6.25 K
12/13/2023 12:47,6.25 K
12/13/2023 12:47,6.25 K
12/13/2023 12:47,6.25 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.20 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.22 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.15 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.21 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.18 K
12/13/2023 12:47,6.19 K
12/13/2023 12:47,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.13 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.20 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.22 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.19 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.25 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.17 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.18 K
12/13/2023 12:48,6.23 K
12/13/2023 12:48,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.14 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.23 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.22 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.21 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.15 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.20 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.24 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.17 K
12/13/2023 12:49,6.19 K
12/13/2023 12:49,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,3.88 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.01 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.18 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.19 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.14 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.23 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.17 K
12/13/2023 12:50,6.27 K
12/13/2023 12:50,6.27 K
12/13/2023 12:50,6.27 K
12/13/2023 12:50,6.27 K
